Country,Year,GDP per Capita ($),Population,Education Spending(%),Healthcare Spending($),Literacy(%),Life Expectancy,Fertility Rate,Infant Mortality Rate,Unemployment(%),Youth Unemployment(%)
Afghanistan,2019,498.0,37769499.0,,74.0,0.0,64.0,4.87,48.8,11.22,15.92
Afghanistan,2020,512.0,38972230.0,,80.0,0.0,63.0,4.75,47.4,11.71,16.05
Afghanistan,2021,356.0,40099462.0,,81.0,37.27,62.0,4.643,46.1,11.93,16.39
Afghanistan,2022,353.0,41128771.0,,0.0,0.0,63.0,4.523,44.8,14.1,17.75
Albania,2019,5396.0,2854191.0,11.4,368.0,0.0,79.0,1.414,8.3,11.47,27.14
Albania,2020,5343.0,2837849.0,10.13,397.0,0.0,77.0,1.4,8.4,12.79,30.63
Albania,2021,6377.0,2811666.0,9.83,465.0,0.0,76.0,1.39,8.4,12.47,29.43
Albania,2022,6810.0,2777689.0,0.0,0.0,98.5,77.0,1.376,8.4,11.59,28.1
Algeria,2019,4530.0,42705368.0,14.46,236.0,0.0,76.0,2.988,20.1,12.29,31.16
Algeria,2020,3794.0,43451666.0,16.55,206.0,0.0,74.0,2.942,19.7,14.04,35.38
Algeria,2021,4216.0,44177969.0,16.05,205.0,0.0,76.0,2.889,19.2,13.61,33.7
Algeria,2022,5023.0,44903225.0,13.1,0.0,0.0,77.0,2.829,18.7,12.44,31.99
American Samoa,2019,13673.0,47321.0,,,,,,,,
American Samoa,2020,15610.0,46189.0,,,,,,,,
American Samoa,2021,16654.0,45035.0,,,,,,,,
American Samoa,2022,19673.0,44273.0,,,,,,,,
Andorra,2019,41329.0,76343.0,10.9,3027.0,,,,2.9,,
Andorra,2020,37207.0,77700.0,8.99,3269.0,,,,2.8,,
Andorra,2021,42066.0,79034.0,6.35,3506.0,,,,2.7,,
Andorra,2022,42351.0,79824.0,6.96,0.0,,,,2.6,,
Angola,2019,2191.0,32353588.0,6.05,65.0,0.0,62.0,5.442,49.9,16.5,31.63
Angola,2020,1451.0,33428486.0,6.47,55.0,0.0,62.0,5.371,48.4,16.68,32.46
Angola,2021,1927.0,34503774.0,6.92,64.0,0.0,62.0,5.304,47.0,15.8,30.0
Angola,2022,2933.0,35588987.0,6.64,0.0,72.4,62.0,5.209,45.7,14.69,28.42
Antigua And Barbuda,2019,18730.0,92117.0,7.13,802.0,,79.0,1.468,8.7,,
